slug,maker,models,group,setting,depth,matched,hz,level_dbfs,thd_pct,valid_orders,h2,h3,h4,h5,h6,h7,h8
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,500.0,-3.0,0.0980220801461218,47,-60.4749222270063,-72.25193422088063,-87.36658020715572,-85.74849319938122,-102.37398431701807,-94.89212591792166,-114.66871904929124
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,5000.0,-12.0,0.040466476811899126,4,-68.16605656893647,-79.5209677434414,-103.59448997424279,,,,
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,5000.0,-3.0,0.09224484489140515,4,-60.96096474906116,-73.16597718179023,-89.31183142686524,,,,
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,63.0,-12.0,0.051736484497542014,381,-66.06432982958106,-77.10874739652512,-99.9325041747874,-92.59715926791385,-116.5311537258819,-102.38508830125484,-123.93438348191383
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,63.0,-3.0,0.11564259907985949,381,-59.03070833617616,-70.96612420291751,-85.26776748647572,-84.34454580714836,-100.39518483962169,-93.36105228242079,-110.98806342521283
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,630.0,-12.0,0.04220181413422522,38,-67.84464969046938,-78.74503498127194,-102.55441331496519,-94.12781872433413,-120.0454649998759,-103.52013847647754,-130.8676154690406
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,630.0,-3.0,0.09607229070284708,38,-60.65029331526923,-72.4102419765338,-87.6105615439709,-85.96068411531662,-102.96213403047717,-94.9328345044413,-113.5365647404231
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,6300.0,-12.0,0.039573386004042053,3,-68.32420942364364,-80.21514838574998,,,,,
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,6300.0,-3.0,0.09022978259617391,3,-61.11764750439907,-73.86770203641922,,,,,
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,80.0,-12.0,0.05239826286361131,300,-65.96147069342717,-76.91537358000822,-99.75999681431013,-92.17434810967107,-116.09870899628109,-101.48929411109171,-125.23601205812429
